Gene_ID	P09	P08	P07	P06	P05	P03	N11	N10	N04	N03	N02	N01	blast_hit_description	KEEG_ortholog_ID
SSCG00000000005	133.4311844	103.4316327	90.48201654	77.46095976	35.32357124	70.23085854	45.76088239	26.3307847	82.88610723	72.45404581	79.3336773	54.14260306	765140220:PREDICTED: cyclin-I-like [Oryzias latipes]	
SSCG00000000007	56.01645022	50.86685629	52.7606309	47.39327361	44.85447384	48.69553808	53.72265754	69.25836721	48.13186593	66.69204894	40.25702654	56.60923646	657529989:PREDICTED: E3 ubiquitin-protein ligase RNF14 [Stegastes partitus]	K11971
SSCG00000000008	44.02892988	25.25656147	40.18683568	27.31759291	29.13117689	45.80273383	46.68846784	52.87165545	38.61582367	69.20526034	40.38127662	37.12283262	734601429:PREDICTED: rho GTPase-activating protein 26 [Larimichthys crocea]	K20071
SSCG00000000009	47.10983464	40.18410901	44.21373742	52.25177167	37.04667227	68.5433894	33.39307634	44.53824221	43.3738448	44.31833767	39.57365109	45.50938617	974056298:PREDICTED: NEDD4 family-interacting protein 1 [Cyprinodon variegatus]	
SSCG00000000010	61.11394719	67.5630706	82.42821307	67.74396363	153.0867577	108.3998034	97.39647266	74.5805471	71.99092841	78.03214917	56.40953718	93.54707157	742101579:PREDICTED: heat shock 70 kDa protein 4-like [Esox lucius]	K09489
SSCG00000000011	18.76551083	23.13416135	19.88796367	23.00911349	23.63879234	24.58883606	23.88532544	23.24952266	21.37661667	32.24266336	28.20476859	33.05288752	736212274:PREDICTED: ankyrin repeat domain-containing protein SOWAHA-like [Notothenia coriiceps]	
SSCG00000000012	231.1798901	327.6278324	422.1672288	239.9914706	358.5665562	292.3339398	190.9280059	238.3076073	141.9821088	199.5244663	158.9779798	206.8272103	657530007:PREDICTED: protein Shroom3-like isoform X2 [Stegastes partitus]	K18625
SSCG00000000013	75.56619135	67.42157726	81.60639639	37.30959837	76.24722084	38.16894486	90.7487769	85.01482082	68.2672597	88.75927101	69.26942066	51.98429884	768939001:PREDICTED: AF4/FMR2 family member 4 isoform X1 [Takifugu rubripes]	K15185
SSCG00000000014	22.29454719	20.37504119	18.32651198	53.44347875	10.9309222	20.97283076	6.647695753	14.14579391	9.653955917	8.1526126	11.9901329	11.22318196	657529968:PREDICTED: fibroblast growth factor 1 isoform X2 [Stegastes partitus]	
SSCG00000000015	10.36304329	11.95618736	13.39561189	16.86723858	14.48481808	17.27646978	11.28562302	12.9553063	10.82622199	12.50475918	10.43700688	13.13482284	928079007:PREDICTED: zinc finger CCHC domain-containing protein 10 [Austrofundulus limeus]	
SSCG00000000016	16.02070476	14.22008083	12.98470355	7.791930864	11.14630983	13.17833044	15.07326363	9.453872167	9.033344465	8.091314761	6.647379382	9.003211898	734601439:PREDICTED: protein sprouty homolog 4 [Larimichthys crocea]	K17385
SSCG00000000017	82.62426408	86.38168503	94.67328161	99.27836618	65.37014555	85.49843649	93.68613084	62.11544157	63.85402271	82.32299791	79.02305209	67.2774259	657530022:PREDICTED: septin-8-A isoform X2 [Stegastes partitus]	K16939
SSCG00000000018	8.178401733	7.923627128	7.725076798	3.758460769	5.492384552	7.633788972	10.58993393	9.804015581	6.895682798	15.87614033	8.449005569	6.104917657	929085858:PREDICTED: LOW QUALITY PROTEIN: rho GTPase-activating protein 26-like [Salmo salar]	
SSCG00000000020	131.4145922	98.90384576	101.4121784	108.720353	85.455042	92.00724603	72.27436661	81.37332932	69.5084826	90.23041915	75.23342459	75.17065277	348528927:PREDICTED: mitoferrin-2 [Oreochromis niloticus]	K15113
